African dodder,Cuscutaceae
African dogstooth grass,Poaceae
African dry rock moss,Grimmiaceae
African feathergrass,Poaceae
African finger millet,Poaceae
African fodder cane,Poaceae
African horned cucumber,Cucurbitaceae
African jointfir,Gnetaceae
African liverseed grass,Poaceae
African locust bean,Fabaceae
African locust-bean,Fabaceae
African lovegrass,Poaceae
African mahogany,Fabaceae
African mammyapple,Clusiaceae
African mesquite,Fabaceae
African milkweed,Asclepiadaceae
African morningvine,Convolvulaceae
African mustard,Brassicaceae
African oil palm,Arecaceae
African olive,Oleaceae
African pepperwort,Brassicaceae
African plume,Fabaceae
African rattlebox,Fabaceae
African rice,Poaceae
African rosemallow,Malvaceae
African senna,Fabaceae
African sheepbush,Asteraceae
African signalgrass,Poaceae
African star apple,Sapotaceae
African sumac,Anacardiaceae
African tamarisk,Tamaricaceae
african teak,Moraceae
African telosma,Asclepiadaceae
African tuliptree,Bignoniaceae
African violet,Gesneriaceae
African yam bean,Fabaceae
African-lily,Liliaceae
Afzel's calymperes moss,Calymperaceae
Afzel's script lichen,Graphidaceae
agapanthus,Liliaceae
Agardh lupine,Fabaceae
Agassiz's schistidium moss,Grimmiaceae
agate desertparsley,Apiaceae
agathis,Araucariaceae
agathosma,Rutaceae
agave,Agavaceae
agdestis,Phytolaccaceae
aggregate eugenia,Myrtaceae
aglaonema,Araceae
agonimia lichen,Verrucariaceae
agoseris,Asteraceae
agracejo rastrero,Convolvulaceae
agrestia lichen,Hymeneliaceae
agrimony,Rosaceae
agroelymus,Poaceae
agropogon,Poaceae
aguacatillo,Sabiaceae
agueweed,Gentianaceae
aguinaldo blanco,Convolvulaceae
agyrium lichen,Agyriaceae
'ahakea,Rubiaceae
'ahakea lau nui,Rubiaceae
Ahart's dwarf rush,Juncaceae
Ahart's nailwort,Caryophyllaceae
Ahlner's microcalicium lichen,Microcaliciaceae
ahorca caballo,Malpighiaceae
ahtiana lichen,Parmeliaceae
Ahti's neofuscelia lichen,Parmeliaceae
'aiakanene,Rubiaceae
aiea,Solanaceae
Aiken hawthorn,Rosaceae
ailanthus,Simaroubaceae
Ainahou Valley woodfern,Dryopteridaceae
aiphanes,Arecaceae
air fern,Thelypteridaceae
air yam,Dioscoreaceae
airplant,Bromeliaceae
aji,Solanaceae
ajipo,Fabaceae
Ajo Mountain scrub oak,Fagaceae
Ajo rockdaisy,Asteraceae
Ajo xanthoparmelia lichen,Parmeliaceae
Ajowan caraway,Apiaceae
aka'aka'aka,Begoniaceae
'akala,Rosaceae
akalbir,Datiscaceae
akee,Sapindaceae
'akoko,Euphorbiaceae
akolea,Dryopteridaceae
'aku,Campanulaceae
'aku 'aku,Campanulaceae
'akupa,Rubiaceae
'ala'a,Sapotaceae
Alabama azalea,Ericaceae
Alabama blazing star,Asteraceae
Alabama cherry,Rosaceae
Alabama croton,Euphorbiaceae
Alabama gladecress,Brassicaceae
Alabama hawthorn,Rosaceae
Alabama larkspur,Ranunculaceae
Alabama leather flower,Ranunculaceae
Alabama lipfern,Pteridaceae
Alabama maiden fern,Thelypteridaceae
Alabama milkvine,Asclepiadaceae
Alabama paraparmelia lichen,Parmeliaceae
Alabama phlox,Polemoniaceae
Alabama pitcherplant,Sarraceniaceae
Alabama serviceberry,Rosaceae
Alabama skullcap,Lamiaceae
Alabama snow-wreath,Rosaceae
Alabama supplejack,Rhamnaceae
Alabama swamp flatsedge,Cyperaceae
Alabama warbonnet,Asteraceae
Alachua bully,Sapotaceae
Aladdin's slippers,Fabaceae
alahe'e,Rubiaceae
Alakai Swamp island-daisy,Asteraceae
alakai swamp lobelia,Campanulaceae
Alakai Swamp pritchardia,Arecaceae
Alakai Swamp violet,Violaceae
Alameda County thistle,Asteraceae
Alameda manzanita,Ericaceae
alamovine,Convolvulaceae
alani,Rutaceae
alani wai,Rutaceae
Alaska alkaligrass,Poaceae
Alaska arnica,Asteraceae
Alaska bellheather,Ericaceae
Alaska blackberry,Rosaceae
Alaska blueberry,Ericaceae
Alaska blue-eyed grass,Iridaceae
Alaska bluegrass,Poaceae
Alaska bog willow,Salicaceae
Alaska brome,Poaceae
Alaska brownish sedge,Cyperaceae
Alaska cedar,Cupressaceae
Alaska curved woodrush,Juncaceae
Alaska draba,Brassicaceae
Alaska dwarf-primrose,Primulaceae
Alaska fescue,Poaceae
Alaska grass of Parnassus,Saxifragaceae
Alaska hawkweed,Asteraceae
Alaska hollyfern,Dryopteridaceae
Alaska Indian paintbrush,Scrophulariaceae
Alaska knotweed,Polygonaceae
Alaska mistmaiden,Hydrophyllaceae
Alaska oniongrass,Poaceae
Alaska orache,Chenopodiaceae
Alaska rush,Juncaceae
Alaska saxifrage,Saxifragaceae
Alaska springbeauty,Portulacaceae
Alaska starwort,Caryophyllaceae
Alaska tall bluebells,Boraginaceae
Alaska wild rhubarb,Polygonaceae
Alaska wormwood,Asteraceae
Alaskan bluegrass,Poaceae
Alaskan bugseed,Chenopodiaceae
Alaskan cup lichen,Cladoniaceae
Alaskan douglasia,Primulaceae
Alaskan giant shield lichen,Parmeliaceae
Alaskan mountain-avens,Rosaceae
Alaskan phlox,Polemoniaceae
Alaskan pore lichen,Pertusariaceae
Alaskan rim lichen,Lecanoraceae
Alaskan scouringrush,Equisetaceae
Alaskan wheatgrass,Poaceae
alaweo,Chenopodiaceae
albahaca,Amaranthaceae
albaida,Fabaceae
Albanian spurge,Euphorbiaceae
Albany hawthorn,Rosaceae
Alberta beardtongue,Scrophulariaceae
Alberta melanelia lichen,Parmeliaceae
Alberta saxifrage,Saxifragaceae
Albertville hawthorn,Rosaceae
albizia,Fabaceae
Albuquerque prairie clover,Fabaceae
alchornea,Euphorbiaceae
alchorneopsis,Euphorbiaceae
alcove bog orchid,Orchidaceae
alcove rockdaisy,Asteraceae
alder,Betulaceae
alderleaf buckthorn,Rhamnaceae
alderleaf mountain mahogany,Rosaceae
ale,Plantaginaceae
alectra,Scrophulariaceae
alectryon,Sapindaceae
Alefeld's pea,Fabaceae
alena,Nyctaginaceae
aleppo oak,Fagaceae
aleppo pine,Pinaceae
aleurites,Euphorbiaceae
Aleutian adder's-mouth orchid,Orchidaceae
Aleutian avens,Rosaceae
Aleutian bog orchid,Orchidaceae
Aleutian brome,Poaceae
Aleutian chickweed,Caryophyllaceae
Aleutian cress,Brassicaceae
Aleutian draba,Brassicaceae
Aleutian holly fern,Dryopteridaceae
Aleutian maidenhair,Pteridaceae
Aleutian mountainheath,Ericaceae
Aleutian ragwort,Asteraceae
Aleutian rim lichen,Lecanoraceae
Aleutian saxifrage,Saxifragaceae
Aleutian selfheal,Lamiaceae
Aleutian violet,Violaceae
Aleutian wildrye,Poaceae
Aleutian wormwood,Asteraceae
Alexander palm,Arecaceae
Alexanders,Apiaceae
Alexander's buckwheat,Polygonaceae
Alexander's rock aster,Asteraceae
Alexandra palm,Arecaceae
Alexandrian laurel,Clusiaceae
Alexandrian senna,Fabaceae
Alex's dock,Polygonaceae
alfalfa,Fabaceae
alfalfa dodder,Cuscutaceae
alfilerillo,Rubiaceae
algal bulrush,Cyperaceae
algarrobilla,Fabaceae
algarrobo,Fabaceae
algarrobo blanco,Fabaceae
algarrobo negro,Fabaceae
Algerian ivy,Araliaceae
Algerian sea lavender,Plumbaginaceae
algerita,Berberidaceae
Algodones sunflower,Asteraceae
Algonquin woodfern,Dryopteridaceae
alhagi,Fabaceae
Alice Eastwood's fleabane,Asteraceae
alien rimmed lichen,Hymeneliaceae
alkali buttercup,Ranunculaceae
alkali centaury,Gentianaceae
alkali cordgrass,Poaceae
alkali cusickiella,Brassicaceae
alkali desertparsley,Apiaceae
alkali goldenbush,Asteraceae
alkali goldfields,Asteraceae
alkali lovegrass,Poaceae
alkali mallow,Malvaceae
alkali mariposa lily,Liliaceae
alkali marsh aster,Asteraceae
alkali milkvetch,Fabaceae
alkali pepperweed,Brassicaceae
alkali pepperwort,Brassicaceae
alkali phacelia,Hydrophyllaceae
alkali sacaton,Poaceae
alkali sandmat,Euphorbiaceae
alkali sandspurry,Caryophyllaceae
alkali seaheath,Frankeniaceae
alkali seepweed,Chenopodiaceae
alkali sunflower,Asteraceae
alkali swainsonpea,Fabaceae
alkali wildrye,Poaceae
alkali yellowtops,Asteraceae
alkaligrass,Poaceae
alkalisink goldfields,Asteraceae
alkaliweed,Convolvulaceae
alkanna,Boraginaceae
allamanda,Apocynaceae
allantoparmelia lichen,Parmeliaceae
Allegany thamnobryum moss,Thamnobryaceae
Allegheny blackberry,Rosaceae
Allegheny brookfoam,Saxifragaceae
Allegheny hawkweed,Asteraceae
Allegheny monkeyflower,Scrophulariaceae
Allegheny Mountain buttercup,Ranunculaceae
Allegheny Mountain goldenbanner,Fabaceae
Allegheny onion,Liliaceae
Allegheny plum,Rosaceae
Allegheny serviceberry,Rosaceae
Allegheny stonecrop,Crassulaceae
allegheny vine,Fumariaceae
Allegheny-spurge,Buxaceae
Allen fissidens moss,Fissidentaceae
Allen Springs dwarf-flax,Linaceae
allenrolfea,Chenopodiaceae
Allen's buttercup,Ranunculaceae
Allen's thuidium moss,Thuidiaceae
alliaria,Brassicaceae
Allicoche hedgehog cactus,Cactaceae
alligator juniper,Cupressaceae
alligator-flag,Marantaceae
alligatorlily,Liliaceae
alligatorweed,Amaranthaceae
alligatorwood,Meliaceae
allophylus,Sapindaceae
allseed,Linaceae
allspice,Myrtaceae
allthorn,Capparaceae
almendrillo,Malpighiaceae
almex,Ulmaceae
almond willow,Salicaceae
Almquist's allantoparmelia lichen,Parmeliaceae
Almquist's cartilage lichen,Ramalinaceae
aloe,Aloaceae
aloe yucca,Agavaceae
aloina moss,Pottiaceae
alophia,Iridaceae
alphitonia,Rhamnaceae
alpine alumroot,Saxifragaceae
alpine arctic cudweed,Asteraceae
alpine arthrorhaphis lichen,Arthrorhaphidaceae
alpine aster,Asteraceae
alpine azalea,Ericaceae
alpine balsam,Scrophulariaceae
alpine bearberry,Ericaceae
alpine beard lichen,Parmeliaceae
alpine bedstraw,Rubiaceae
alpine bellemerea lichen,Porpidiaceae
alpine bentgrass,Poaceae
alpine besseya,Scrophulariaceae
alpine biscuitroot,Apiaceae
alpine bistort,Polygonaceae
alpine bittercress,Brassicaceae
alpine bladderpod,Brassicaceae
alpine blood lichen,Mycoblastaceae
alpine bluebells,Boraginaceae
alpine bluegrass,Poaceae
alpine bryum moss,Bryaceae
alpine bulrush,Cyperaceae
alpine bur cucumber,Cucurbitaceae
alpine buttercup,Ranunculaceae
alpine cancer-root,Orobanchaceae
alpine candle snuffer moss,Encalyptaceae
alpine catchfly,Caryophyllaceae
alpine chickweed,Caryophyllaceae
alpine clover,Fabaceae
alpine clubmoss,Lycopodiaceae
alpine clubrush,Phytolaccaceae
alpine collomia,Polemoniaceae
alpine currant,Grossulariaceae
alpine draba,Brassicaceae
alpine dustymaiden,Asteraceae
alpine false candytuft,Brassicaceae
alpine false goldenaster,Asteraceae
alpine false ohelo,Thymelaeaceae
alpine false springparsley,Apiaceae
alpine fescue,Poaceae
alpine feverfew,Asteraceae
alpine flatsedge,Cyperaceae
alpine flax,Linaceae
alpine fleabane,Asteraceae
alpine forget-me-not,Boraginaceae
alpine gentian,Gentianaceae
alpine golden buckwheat,Polygonaceae
alpine gooseberry,Grossulariaceae
alpine groundsel,Asteraceae
alpine hairgrass,Poaceae
alpine hawkweed,Asteraceae
alpine heuchera,Saxifragaceae
alpine honeysuckle,Caprifoliaceae
alpine hygrohypnum moss,Amblystegiaceae
alpine hymenopappus,Asteraceae
alpine Jacob's-ladder,Polemoniaceae
alpine jewelflower,Brassicaceae
alpine knapweed,Asteraceae
alpine ladyfern,Dryopteridaceae
alpine lady's mantle,Rosaceae
alpine lake false dandelion,Asteraceae
alpine laurel,Ericaceae
alpine leafybract aster,Asteraceae
alpine leptopterigynandrum moss,Leskeaceae
alpine lewisia,Portulacaceae
alpine lily,Liliaceae
alpine lovage,Apiaceae
alpine meadow-rue,Ranunculaceae
alpine milkvetch,Fabaceae
alpine mirrorplant,Rubiaceae
alpine mountainsorrel,Polygonaceae
alpine nerve sedge,Cyperaceae
alpine oatgrass,Poaceae
alpine oreoxis,Apiaceae
alpine pennycress,Brassicaceae
alpine pepperweed,Brassicaceae
alpine phacelia,Hydrophyllaceae
alpine phaesporobolus,Uncertain Lichen Family
alpine polytrichastrum moss,Polytrichaceae
alpine pondweed,Potamogetonaceae
alpine poppy,Papaveraceae
alpine pore lichen,Pertusariaceae
alpine primrose,Primulaceae
alpine pussytoes,Asteraceae
alpine rattlesnakeroot,Asteraceae
alpine rockcress,Brassicaceae
alpine rose,Rosaceae
alpine sagebrush,Asteraceae
alpine sandmat,Euphorbiaceae
alpine sawsepal penstemon,Scrophulariaceae
alpine saxifrage,Saxifragaceae
alpine schadonia lichen,Bacidiaceae
alpine serpentweed,Asteraceae
alpine sheep sorrel,Polygonaceae
alpine shootingstar,Primulaceae
alpine slender buckwheat,Polygonaceae
alpine smelowskia,Brassicaceae
alpine snow lichen,Stereocaulaceae
alpine speedwell,Scrophulariaceae
alpine spicywintergreen,Ericaceae
alpine springbeauty,Portulacaceae
alpine sulphur-flower buckwheat,Polygonaceae
alpine sweetgrass,Poaceae
alpine sweetvetch,Fabaceae
alpine tetramolopium,Asteraceae
alpine timothy,Poaceae
alpine tundra draba,Brassicaceae
alpine violet,Violaceae
alpine waterleaf,Hydrophyllaceae
alpine willow,Salicaceae
alpine woodfern,Dryopteridaceae
alpine woodrush,Juncaceae
alpine woodsia,Dryopteridaceae
alpine woodsorrel,Oxalidaceae
alpine yellow fleabane,Asteraceae
alpine yellowcress,Brassicaceae
alpine-ash,Myrtaceae
alpineflames,Asteraceae
alpinegold,Asteraceae
alpinia,Zingiberaceae
alplily,Liliaceae
Alps wormwood,Asteraceae
Alps yarrow,Asteraceae
alsia moss,Leucodontaceae
alsike clover,Fabaceae
alsinidendron,Caryophyllaceae
alsophila,Cyatheaceae
alstonia,Apocynaceae
Altai fescue,Poaceae
Altai wildrye,Poaceae
altea,Melastomataceae
alternateflower watermilfoil,Haloragaceae
alternateleaf archidium moss,Archidiaceae
alternateleaf dogwood,Cornaceae
alternate-leaf golden saxifrage,Saxifragaceae
alternateleaf jessamine,Solanaceae
alumroot,Saxifragaceae
alumroot brookfoam,Saxifragaceae
Alva Day's gilia,Polemoniaceae
Alva Day's pincushionplant,Polemoniaceae
alvaradoa,Simaroubaceae
alverjilla,Fabaceae
Alvord milkvetch,Fabaceae
Alvord oak,Fagaceae
alyce clover,Fabaceae
alyssum,Brassicaceae
alyssum evening primrose,Onagraceae
alyssumleaf phlox,Polemoniaceae
alyxia,Apocynaceae
Amador County vervain,Verbenaceae
amamastla,Polygonaceae
amansa guapo,Euphorbiaceae
Amargosa niterwort,Chenopodiaceae
amaryllis,Liliaceae
amate,Moraceae
amatungulu,Apocynaceae
ama'u,Blechnaceae
amaumau fern,Blechnaceae
Amazon canoparmelia lichen,Parmeliaceae
Amazon sprangletop,Poaceae
Amazon waterlily,Nymphaeaceae
Amazon water-lily,Nymphaeaceae
Amazonian coca,Erythroxylaceae
Amazonlily,Liliaceae
Amazonvine,Malpighiaceae
ambatch,Fabaceae
Ambay pumpwood,Cecropiaceae
amberboa,Asteraceae
amberique-bean,Fabaceae
ambiguous aloina moss,Pottiaceae
ambiguous bran lichen,Parmeliaceae
ambiguous calcareous moss,Mniaceae
ambiguous ditrichum moss,Ditrichaceae
ambiguous trematodon moss,Bruchiaceae
amblyodon moss,Meesiaceae
amblyolepis,Asteraceae
amblyopappus,Asteraceae
amblyopyrum,Poaceae
amblystegium moss,Amblystegiaceae
ambrosia leaf bur ragweed,Asteraceae
amelasorbus,Rosaceae
Amelia's sand verbena,Nyctaginaceae
American alkaligrass,Poaceae
American alpine speedwell,Scrophulariaceae
American alumroot,Saxifragaceae
American anzia lichen,Parmeliaceae
American aspicilia,Hymeneliaceae
American barberry,Berberidaceae
American basswood,Tiliaceae
American beachgrass,Poaceae
American beakgrain,Poaceae
American beautyberry,Verbenaceae
American beech,Fagaceae
American bellflower,Campanulaceae
American bird's-foot trefoil,Fabaceae
American bistort,Polygonaceae
American bittercress,Brassicaceae
American bittersweet,Celastraceae
American black currant,Grossulariaceae
American black elderberry,Caprifoliaceae
American black nightshade,Solanaceae
American bladdernut,Staphyleaceae
American bluehearts,Scrophulariaceae
American brunfelsia,Solanaceae
American buckwheat vine,Polygonaceae
American bugseed,Chenopodiaceae
American burnweed,Asteraceae
American bur-reed,Sparganiaceae
American bushmint,Lamiaceae
American cancer-root,Orobanchaceae
American cartilage lichen,Ramalinaceae
American century plant,Agavaceae
American chestnut,Fagaceae
American chickweed,Caryophyllaceae
American climacium moss,Climaciaceae
American climbing fern,Lygodiaceae
American columbo,Gentianaceae
American cracked lichen,Acarosporaceae
American cranberrybush,Caprifoliaceae
American cupscale,Poaceae
American dodder,Cuscutaceae
American dragonhead,Lamiaceae
American dry rock moss,Grimmiaceae
American dunegrass,Poaceae
American dwarf mistletoe,Viscaceae
American eelgrass,Hydrocharitaceae
American elm,Ulmaceae
American evergreen,Araceae
American everlasting,Asteraceae
American false candytuft,Brassicaceae
American false pennyroyal,Lamiaceae
American featherfoil,Primulaceae
American fiveminute grass,Poaceae
American fly honeysuckle,Caprifoliaceae
American funaria moss,Funariaceae
American ginseng,Araliaceae
American globeflower,Ranunculaceae
American golden saxifrage,Saxifragaceae
American gomphillus lichen,Gomphillaceae
American grama,Poaceae
American halfchaff sedge,Cyperaceae
American hazelnut,Betulaceae
American hogpeanut,Fabaceae
American holly,Aquifoliaceae
American hornbeam,Betulaceae
American horsehair lichen,Parmeliaceae
American ipecac,Euphorbiaceae
American lichinella lichen,Lichinaceae
American licorice,Fabaceae
American lily-of-the-valley,Liliaceae
American long-leaved bamboo,Poaceae
American lopseed,Verbenaceae
American lotus,Nelumbonaceae
American madwort,Brassicaceae
American mannagrass,Poaceae
American marshpennywort,Apiaceae
American melonleaf,Cucurbitaceae
American milkvetch,Fabaceae
American milletgrass,Poaceae
American mountain ash,Rosaceae
American muskwood,Meliaceae
American mycocalicium lichen,Mycocaliciaceae
American nailwort,Caryophyllaceae
American ocellularia lichen,Thelotremataceae
American oil palm,Arecaceae
American philonotis moss,Bartramiaceae
American pillwort,Marsileaceae
American pistachio,Anacardiaceae
American plum,Rosaceae
American pokeweed,Phytolaccaceae
American red raspberry,Rosaceae
American rinodina lichen,Physciaceae
American rockbrake,Pteridaceae
American rosette lichen,Physciaceae
American saw-wort,Asteraceae
American scurfpea,Fabaceae
American searocket,Brassicaceae
American senna,Fabaceae
American shoreweed,Plantaginaceae
American silvertop,Apiaceae
American skunkcabbage,Araceae
American sloughgrass,Poaceae
American smoketree,Anacardiaceae
American snoutbean,Fabaceae
American snowbell,Styracaceae
American speedwell,Scrophulariaceae
American spikenard,Araliaceae
American spongeplant,Hydrocharitaceae
American spurred gentian,Gentianaceae
American star-thistle,Asteraceae
American stickseed,Boraginaceae
American stoneseed,Boraginaceae
American strigula lichen,Strigulaceae
American sycamore,Platanaceae
American tarwort,Asteraceae
American thorow wax,Apiaceae
American thread lichen,Lichinaceae
American threefold,Asteraceae
American tomasellia lichen,Arthopyreniaceae
American trailplant,Asteraceae
American tuckermannopsis lichen,Parmeliaceae
American umbrellaleaf,Berberidaceae
American vetch,Fabaceae
American water horehound,Lamiaceae
American water plantain,Alismataceae
American water starwort,Caryophyllaceae
American waterawlwort,Brassicaceae
American water-willow,Acanthaceae
American waterwort,Elatinaceae
American white waterlily,Nymphaeaceae
American wild carrot,Apiaceae
American wintergreen,Pyrolaceae
American wisteria,Fabaceae
American witchhazel,Hamamelidaceae
American woollyfruit sedge,Cyperaceae
American yellowrocket,Brassicaceae
amerorchis,Orchidaceae
Ames' lady's tresses,Orchidaceae
Ames' milkvetch,Fabaceae
Ames' quillwort,Isoetaceae
amethyst eryngo,Apiaceae
amethyst stickseed,Boraginaceae
amianthium,Liliaceae
ammi,Apiaceae
ammocharis,Liliaceae
ammocodon,Nyctaginaceae
ammoniakum,Apiaceae
Ammons' tortula moss,Pottiaceae
amor seco,Fabaceae
amorphophallus,Araceae
amphianthus,Scrophulariaceae
amphibious lupine,Fabaceae
amphidium moss,Orthotrichaceae
amphilophium,Bignoniaceae
amphitecna,Bignoniaceae
Amur chokecherry,Rosaceae
Amur corktree,Rutaceae
Amur daylily,Liliaceae
Amur grape,Vitaceae
Amur honeysuckle,Caprifoliaceae
Amur lilac,Oleaceae
Amur maackia,Fabaceae
Amur maple,Aceraceae
Amur peppervine,Vitaceae
Amur privet,Oleaceae
Amur rose,Rosaceae
Amur silvergrass,Poaceae
amygdalaria lichen,Porpidiaceae
anacahuita,Boraginaceae
anacamptodon moss,Fabroniaceae
anacardium,Anacardiaceae
anacolia moss,Bartramiaceae
anacyclus,Asteraceae
anadenanthera,Fabaceae
Anadyr draba,Brassicaceae
analogue sedge,Cyperaceae
anamu,Malvaceae
anaunau,Brassicaceae
anchored water hyacinth,Pontederiaceae
Andalusian pohlia moss,Bryaceae
Andean prairie clover,Fabaceae
Andean senna,Fabaceae
Andean walnut,Juglandaceae
Andean watermilfoil,Haloragaceae
Anderson's alkaligrass,Poaceae
Anderson's brachymenium moss,Bryaceae
Anderson's buttercup,Ranunculaceae
Anderson's hawksbeard,Asteraceae
Anderson's hollyfern,Dryopteridaceae
Anderson's larkspur,Ranunculaceae
Anderson's lupine,Fabaceae
Anderson's milkvetch,Fabaceae
Anderson's rockjasmine,Primulaceae
Anderson's sphagnum,Sphagnaceae
Anderson's weissia moss,Pottiaceae
Andersson's arctoa moss,Dicranaceae
Andes berry,Rosaceae
andira,Fabaceae
andreaea moss,Andreaeaceae
andreaeobryum moss,Andreaeobryaceae
Andre's fuchsia,Onagraceae
Andrews' bedstraw,Rubiaceae
Andrews' blackberry,Rosaceae
Andrew's clintonia,Liliaceae
Andrews' clover,Fabaceae
Andrews' lecodon moss,Leucodontaceae
Andrews' pohlia moss,Bryaceae
Andrews' rhizomnium moss,Mniaceae
Androscoggin River blackberry,Rosaceae
Andrus' sphagnum,Sphagnaceae
anechites,Apocynaceae
aneilema,Commelinaceae
anelsonia,Brassicaceae
anema lichen,Lichinaceae
anemia fern,Anemiaceae
anemone,Ranunculaceae
anena,Nyctaginaceae
angelica,Apiaceae
angelica tree,Araliaceae
angelon,Scrophulariaceae
angel's trumpets,Nyctaginaceae
angel's-tears,Solanaceae
angel's-trumpet,Solanaceae
angel's-wings,Cactaceae
angelwing jasmine,Oleaceae
Angerman's sphagnum,Sphagnaceae
angiopteris fern,Marattiaceae
angled mistletoe,Viscaceae
angled paludella moss,Meesiaceae
angled pea,Fabaceae
angled sandming,Lamiaceae
angleleaf miterwort,Saxifragaceae
anglepod,Asclepiadaceae
anglestem beaksedge,Cyperaceae
anglestem buckwheat,Polygonaceae
anglestem Indian mallow,Malvaceae
anglestem primrose-willow,Onagraceae
Angleton bluestem,Poaceae
anglevein fern,Polypodiaceae
angostura,Rutaceae
angularfruit ma'oloa,Urticaceae
angularfruit milkvine,Asclepiadaceae
aniba,Lauraceae
anil de pasto,Fabaceae
anil falso,Fabaceae
anil racimillo,Fabaceae
animated oat,Poaceae
aninga,Araceae
anini,Theaceae
anise,Apiaceae
anise burnet saxifrage,Apiaceae
anise primrose,Primulaceae
aniseia,Convolvulaceae
anisescented goldenrod,Asteraceae
anisetree,Illiciaceae
anisocoma,Asteraceae
anisomeridium lichen,Monoblastiaceae
annona,Annonaceae
annual agoseris,Asteraceae
annual bastardcabbage,Brassicaceae
annual blue-eyed grass,Iridaceae
